date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2023-07-28;2023;7;28;4;209;30;False;True;False
2023-07-29;2023;7;29;5;210;30;True;True;False
2023-07-30;2023;7;30;6;211;30;True;True;False
2023-07-31;2023;7;31;0;212;31;False;True;False
2023-08-01;2023;8;1;1;213;31;False;True;False
2023-08-02;2023;8;2;2;214;31;False;True;False
2023-08-03;2023;8;3;3;215;31;False;True;False
2023-08-04;2023;8;4;4;216;31;False;True;False
2023-08-05;2023;8;5;5;217;31;True;True;False
2023-08-06;2023;8;6;6;218;31;True;True;False
2023-08-07;2023;8;7;0;219;32;False;True;False
2023-08-08;2023;8;8;1;220;32;False;True;False
2023-08-09;2023;8;9;2;221;32;False;True;False
2023-08-10;2023;8;10;3;222;32;False;True;False
2023-08-11;2023;8;11;4;223;32;False;True;False
2023-08-12;2023;8;12;5;224;32;True;True;False
2023-08-13;2023;8;13;6;225;32;True;True;False
2023-08-14;2023;8;14;0;226;33;False;True;False
2023-08-15;2023;8;15;1;227;33;False;True;False
2023-08-16;2023;8;16;2;228;33;False;True;False
2023-08-17;2023;8;17;3;229;33;False;True;False
2023-08-18;2023;8;18;4;230;33;False;True;False
2023-08-19;2023;8;19;5;231;33;True;True;False
2023-08-20;2023;8;20;6;232;33;True;True;False
2023-08-21;2023;8;21;0;233;34;False;True;False
2023-08-22;2023;8;22;1;234;34;False;True;False
2023-08-23;2023;8;23;2;235;34;False;True;False
2023-08-24;2023;8;24;3;236;34;False;True;False
2023-08-25;2023;8;25;4;237;34;False;True;False
2023-08-26;2023;8;26;5;238;34;True;True;False
2023-08-27;2023;8;27;6;239;34;True;True;False
2023-08-28;2023;8;28;0;240;35;False;True;False
2023-08-29;2023;8;29;1;241;35;False;True;False
2023-08-30;2023;8;30;2;242;35;False;True;False
2023-08-31;2023;8;31;3;243;35;False;True;False
2023-09-01;2023;9;1;4;244;35;False;False;False
2023-09-02;2023;9;2;5;245;35;True;False;False
2023-09-03;2023;9;3;6;246;35;True;False;False
2023-09-04;2023;9;4;0;247;36;False;False;False
2023-09-05;2023;9;5;1;248;36;False;False;False
2023-09-06;2023;9;6;2;249;36;False;False;False
2023-09-07;2023;9;7;3;250;36;False;False;False
2023-09-08;2023;9;8;4;251;36;False;False;False
2023-09-09;2023;9;9;5;252;36;True;False;False
2023-09-10;2023;9;10;6;253;36;True;False;False
2023-09-11;2023;9;11;0;254;37;False;False;False
2023-09-12;2023;9;12;1;255;37;False;False;False
2023-09-13;2023;9;13;2;256;37;False;False;False
2023-09-14;2023;9;14;3;257;37;False;False;False
2023-09-15;2023;9;15;4;258;37;False;False;False
2023-09-16;2023;9;16;5;259;37;True;False;False
2023-09-17;2023;9;17;6;260;37;True;False;False
2023-09-18;2023;9;18;0;261;38;False;False;False
2023-09-19;2023;9;19;1;262;38;False;False;False
